circuit_id,circuit_name,locality,country
bahrain,Bahrain International Circuit,Sakhir,Bahrain
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
miami,Miami International Autodrome,Miami,USA
catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
monaco,Circuit de Monaco,Monte-Carlo,Monaco
baku,Baku City Circuit,Baku,Azerbaijan
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
silverstone,Silverstone Circuit,Silverstone,UK
red_bull_ring,Red Bull Ring,Spielberg,Austria
ricard,Circuit Paul Ricard,Le Castellet,France
hungaroring,Hungaroring,Budapest,Hungary
spa,Circuit de Spa-Francorchamps,Spa,Belgium
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands
monza,Autodromo Nazionale di Monza,Monza,Italy
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore
suzuka,Suzuka Circuit,Suzuka,Japan
americas,Circuit of the Americas,Austin,USA
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE
