driver_id,permanent_number,code,given_name,family_name,date_of_birth,nationality
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
russell,63,RUS,George,Russell,1998-02-15,British
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish
ocon,31,OCO,Esteban,Ocon,1996-09-17,French
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese
mick_schumacher,47,MSC,Mick,Schumacher,1999-03-22,German
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian
albon,23,ALB,Alexander,Albon,1996-03-23,Thai
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian
norris,4,NOR,Lando,Norris,1999-11-13,British
latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch
gasly,10,GAS,Pierre,Gasly,1996-02-07,French
vettel,5,VET,Sebastian,Vettel,1987-07-03,German
