race_id,year,round,race_name,circuit_id,circuit_name_denorm,circuit_locality_denorm,circuit_country_denorm,date,time
2022_1,2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2022-03-20,15:00:00Z
2022_2,2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z
2022_3,2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2022-04-10,05:00:00Z
2022_4,2022,4,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2022-04-24,13:00:00Z
2022_5,2022,5,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,2022-05-08,19:30:00Z
2022_6,2022,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2022-05-22,13:00:00Z
2022_7,2022,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2022-05-29,13:00:00Z
2022_8,2022,8,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,2022-06-12,11:00:00Z
2022_9,2022,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2022-06-19,18:00:00Z
2022_10,2022,10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,2022-07-03,14:00:00Z
2022_11,2022,11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,2022-07-10,13:00:00Z
2022_12,2022,12,French Grand Prix,ricard,Circuit Paul Ricard,Le Castellet,France,2022-07-24,13:00:00Z
2022_13,2022,13,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,2022-07-31,13:00:00Z
2022_14,2022,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2022-08-28,13:00:00Z
2022_15,2022,15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,2022-09-04,13:00:00Z
2022_16,2022,16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2022-09-11,13:00:00Z
2022_17,2022,17,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,2022-10-02,12:00:00Z
2022_18,2022,18,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2022-10-09,05:00:00Z
2022_19,2022,19,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,2022-10-23,19:00:00Z
2022_20,2022,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2022-10-30,20:00:00Z
2022_21,2022,21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,2022-11-13,18:00:00Z
2022_22,2022,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,2022-11-20,13:00:00Z
